score,text,critic,date,title,platform
10,10,"My 7 year old daughter loves cats, she plays this game for hours and hours.",ant007,"May 21, 2021",.cat,Switch
11,10,"It is a game for children, although I am an adult and I also enjoyed playing it.",g_smith,"May 22, 2021",.cat,Switch
12,8,My son loved this game. For the promotional price it was worth the purchase.,acarvalho,"Apr 23, 2021",.cat,Switch
13,9,It's unlike anything I've ever played. It is a maze game. Note 9. This game is good.,yahoocom,"Apr 23, 2021",.cat,Switch
14,0,"DO NOT BUY THIS GAME!Absolutely abysmal. I own around 300 games on switch and this is easily one of the worst. The music is a nonsensical string of random notes slung together. The platforming is bare bones with no fun gameplay or consistency. The hit-box on the main character is off causing issues with jumping and general level traversal. Enemies in the stages move too quickly and are uninspired. On every level, fundentally this fails to be an enjoyable experience.I am usually an easy guy to please when it comes to switch games but this one was the bottom of the barrel when it comes to shovel-ware titles.0/10 - honestly their are no redeeming qualities.",notmyfallout,"Jul  8, 2021",.cat,Switch
15,0,"It's the worst platformer I've ever seen! Do not bother buying it, even if it's like 95% discount, just do not waste your time!",EvilBlade,"Apr 25, 2021",.cat,Switch
16,0,"Please, do not waste your money with this game. The game is terrible. Even with discount of 90% as I got it, still doesn’t worth a single cent.",DarkScorpion,"Apr 17, 2021",.cat,Switch
17,10,"Cat cat cat :) The game cost me only $1.99, that is, a fair value. It's a different game, it's like a maze",USA_gamer,"Apr 25, 2021",.cat,Switch
18,10,"Visually this game is magnificent. For those who like complex games I do not recommend it, but for those who like simple games it is a good recommendation.",indiegames,"Apr 25, 2021",.cat,Switch
19,9,"This game is fun I like the way you run around finding gems and checkpoints. The only thing I think would make it better is invincibility frames when you respawn, and more hits before you die.",Willowcat123,"Apr 29, 2021",.cat,Switch
20,7,This really is a real cat simulator. What cat does? Jump! Jump! Jump! :D :D :D,japan2000,"May  5, 2021",.cat,Switch
21,10,A beautiful white kitten. A fun world with lost diamonds. I liked the final boss.,marialp,"May 22, 2021",.cat,Switch
22,8,"It took me two hours to get to the big ghost, the game is simple, but very fun.",1980gb,"May 22, 2021",.cat,Switch
23,10,This game IS AMAZING. I was **** myself in constant waves of different emotions. I felt fear happiness and most importantly anger. Thus game is had as **** but it's so **** cute that it's all worth it. The world is beautiful and the enemies are even adorable. The plot makes no sense but even then I had some understanding of what was going on and it was really **** cool. I recommend this game to anyone up for a challenging game that won't make your brain hurt to much,Wactape,"Jul 13, 2021",.cat,Switch
24,10,"This game changed my life. Once I started playing it, I lost 20 pounds, got a promotion, and my **** ex wife Tammy begged to get back together with me. This game makes my bussy quake with sheer happiness.",isaiahwhite100,"Jan 23, 2022",.cat,Switch
25,0,The game play is trash. Don't waste you're money on this game. Unsure why is number 2 on Nintendo switches best sellers,Panic0,"Sep 12, 2021",.cat,Switch
26,0,"Genuinely bad. Bad sound effects, bad music, bad controls, bad collision detection, bad level design, geez what else even is there? Enemies... they touch you, they kill you. Some are fast, some are slow. Some are mice. They all kill with a touch, or if you jump on them wrong.You know the feeling you have when you're near the bottom of a bag of chips, but you really don't want anymore chips?  You don't want to throw away perfectly good chips, but there's not enough there to be worth saving either.  This game is like eating those last four chips.  Just throw the chips away. This is a game I would make my kids play as punishment, but only if I didn't like them.",ludicrousGibbs,"Dec  9, 2021",.cat,Switch
27,10,"Beautiful game, I love the music and the visuals! It's a little tricky sometimes with diverging paths and the enemies but I have loved every minute I've played so far! Very simple controls (move and jump as far as I can tell) and I can't wait to see the end!",Punkfurry,"Mar  9, 2022",.cat,Switch
28,4,"I'm sorry to all of the cat milk stans out there, but this game is not good. Very few games actually hurt my eyes when I play them, this being one of those games :(",A4G,"Jul 28, 2022",.cat Milk,Switch
29,7,"Buen juego, muy corto pero entretenido. Hay cosas que mejorar como mas fondos, mas niveles, tiene niveles en los cuales se pueden pasar de manera mas fácil de lo que se indica pero la verdad fue muy divertido.",Kevinzx94,"Sep 14, 2021",.cat Milk,Switch
30,8,El juego es divertido obviamente no hay que esperarse algo muy grande pero es entretenido y algo desafiante.,abrahmland,"Nov 17, 2021",.cat Milk,Switch
31,10,"Gato Leche cambio mi vida a mejor, mi amigo de abajo crecio 10 cm, ahora me mide 11, gracias a gato leche pude superar la depresion y el diseño de niveles es muy entretenido, deberia ser conocido por la comunidad como un gran juego que no importa que se le puede dar una oportunidad",Lionick_Z,"Jan 15, 2022",.cat Milk,Switch
32,10,"It changed my life, loved the plot twist at the end and I can't wait for .cat milk coming back from the grave.",DesLobster,"Jan 15, 2022",.cat Milk,Switch
33,6,awesome dog    yeah,A4G,"Jul 28, 2022",.dog,Switch
34,10,Super fun and easy game for kiddos for ridiculously low price! Sweet dog is beating his foes in order to finish all levels.,Huc,"May 11, 2022",.dog,Switch
35,10,"While this may not be a 10 compared to a AAA title, obviously rating is based on the type of game it is.And for what it is, it's near flawless and you can't ask for more.Fun graphics, SUPER CHEAP PRICE, simple gameplay with an increasing challenge, all round a good time.",5656,"Jul 21, 2022",.dog,Switch
36,7,Really enjoying playing this again. Haven't ran into any bugs or lag. Feels good control wise. I would definitely recommend to fans of this series and encourage new members to give it a shot. Before Sord Art we had .Hack,DrexX,"Mar 18, 2022",.hack//G.U. Last Recode,Switch
37,0,this game has big problems with lack of content. Tha graphics are too bad too,guioiticica,"Jun 12, 2022",.hack//G.U. Last Recode,Switch
38,10,"Love this game, it's still probably my favourite story in a JRPG, Haseo's journey and growth have still not really been repeated in a manner as good and gradual as this in any other series.",iRasetsu,"Jan 28, 2023",.hack//G.U. Last Recode,Switch
39,6,"There’s nothing wrong with a decent budget puzzle platformer, in fact there are plenty of them out there in the eShop. While I’ll give the specific style of play in 0 Degrees credit for not being quite like any of the rest I’ve played though, it’s in the execution that it feels a bit more lacking. The basics are pretty simple, with you needing to avoid spikes and sometimes activate certain spots in order to get to the exit. Where it is a bit more unique is that aside from just being able to push ice blocks around to help you avoid traps, activate buttons, and get yourself to higher platforms, you’re able to create them yourself as well, using the second joystick to aim. It’s the mechanics of this that tend to get aggravating and pull down the enjoyment level. It can be a bit quirky, for sure, and that’ll slow things down even when you know what you need to do. For a low price it isn’t a bad deal, just be sure you know what you’re in for. https://www.nindiespotlight.com/2021/05/mini-reviews-may-25th-edition-nintendo.html",NindieSpotlight,"Dec 17, 2021",0 Degrees,Switch
40,10,"An absolute masterpiece! This is the must have game for the Switch. Get your alcohol, get your friends or waifus, enjoy! If you like eating fake sandwiches, you'll love this game.",Oasppp,"Mar  3, 2017",1-2-Switch,Switch
41,8,"I enjoyed this game a lot actually. The mini games were mostly fun (some didn’t’t work well), and it is one of the best local multiplayer Switch games so far. I didn’t know what to score it, because it isn’t like any other game I have reviewed, so I gave it a 8. It is just fun, and I recommend it.",MonkiReviews,"Dec 25, 2017",1-2-Switch,Switch
42,8,"If you and your friends don't find it fun get new friends. You're paying for Nintendo's creativity, who else can come up with such a novel idea for a game? Masterpiece maybe not but definitely worthwhile if you have friends that like to have a laugh",Nath2866,"May  3, 2017",1-2-Switch,Switch
43,7,"1-2 Switch is far from perfect and yeah it should've been a pack in. But overall this game is a very fun game to play with the family and friends. I think the game has semi good controls too not many issues with the joy con to Switch connection. But overall it's a solid party game that you should not expect a perfect game because it isn't.Should you buy: Maybe, I would wait till the price falls. Also if you don't have much family and friend visits then this game is not for you.",spongeswift,"Mar 14, 2017",1-2-Switch,Switch
44,7,"This is mostly a show-case for the capabilities of the joy-cons; but an enjoyable and here and there surprisingly inventive one -- and a necessary one, because these 28 mini games among them all give a complete and in-depth study of these capabilities -- these are marvelous controllers, for what they are, and this game let's you experience that. Playing it for hours would possibly require slight intoxication, but playing the odd 15 minutes with my daughter, or a friend on the go, a colleague after hours at work, is pure fun. And I guess I know what I will play on Dec 31. .... Pose ... Copy ... ;-)",tomterl,"Mar 11, 2017",1-2-Switch,Switch
45,6,"The quality of the final product is great, but when you couple that with the price, and thats the original release price of around 35... it starts to look not as good. The game should be part of the basic Nintendo Switch bundle, just like Wii Sports was. If it ever becomes part of the bundle for the switch you can treat this review score as a 8. The mini games that make  1-2-Switch are a mixture of entertainment and annoyance. There is not really any way to pick out which ones you will like and will not, majority of people probably play the champagne bottle one, not have a clue what's supposed to happen and give up. You may also start to favour the ones that don't require you to take the joy-con straps off, or you may just take them off and leave them off. This is how much the games are hit and miss, but for a part, with 4 or more people you'll have a lot of fun for half an hour or more, and if that half an hour 35 (quid / dollars), then you probably got a good deal (Just remember how much you paid for your Switch first).",CrawlinUK,"Nov  2, 2017",1-2-Switch,Switch
46,5,"Honestly at first it was fun, but this game gets repetitive fast. It’s great to play with family but gets turned off quickly.",FairCriticism,"Apr 23, 2019",1-2-Switch,Switch
47,6,"Decent party game.  Fun as a novelty, but gets old fast for gamers.  Good for getting non gamers and family into gaming though.",wesker2012,"Apr 14, 2018",1-2-Switch,Switch
48,9,Great game! Very fun and emotional with kids! It's first time when my 3 years old daughter can play video games with me.,SleepNot,"Jan 21, 2020",1-2-Switch,Switch
49,5,"The games at most last for a minute, and almost all the games are multiplayer only. It is a fun time, if you do get friends to play this with you. if this was a pack in game for the switch than the limited content of the game could have been forgiven. However, at 50 bucks, it's hard to recommend. especially due to the fact that their are better multiplayer games for the switch.",imoviesreview,"Mar 11, 2018",1-2-Switch,Switch
50,5,"1,2, Switch: A poor mans Wii Sports, except its on a new console, aside from safe hack this game has nothing you couldn’t just pretend to do with someone in real life, would have been forgivable if it came with the system. 4.5/10",Bigal4ever,"Aug 30, 2017",1-2-Switch,Switch
51,7,"Um dos jogos para Switch que usa o HD rumble de maneira mais objetiva, os mini games são divertidos para uma jogatina entre amigos, a falta de um modo história igual vemos na série Wario Ware, é o ponto negativo ao lado dos gráficos bem simples tudo isso vendido a preço cheio contribui para uma nota mais regular.",Afenger,"Jan 19, 2020",1-2-Switch,Switch
52,7,"1-2- Switch is a Party Game. I bought this game knowing what I was getting into. It is actually pretty fun when you get your family and friends together and play. Other than the party atmosphere this game is quite shallow. If you're interested in a Party Game, I would wait until the price drops and pick this up.",flujackson,"Apr 24, 2017",1-2-Switch,Switch
53,7,"excelente, logra hacer que los jugadores mas antiguos experimenten algo nuevo, y es genial, hasta que ya no es nuevo, por tanto la relacion calidad precio es muy cuestionable, y el juego no logra hacer lo que wii Sports logro por el wii, o incluso Nintendo Land por WiiU",Wake_loms,"Nov 13, 2017",1-2-Switch,Switch
54,7,"Well, this game was certainly something. I wouldn't go and say that this game is bad, because it's not bad. It's only a bad purchase if you aren't really the sort of person to hang out with friends often. I will say now that this game is very fun from what I've played with my sister, but some of the mini games I feel are pretty lame whilst others ones are very fun. Some of my favorite games out of the bunch were Quick Draw, Fake Out, Milk, Copy Pose, Gorilla, Sword Fight, Wizard and Dance Off. Others that I didn't like were the baby one, ball count, and the one where you simply turn the joy con carefully. I don't really like those ones. I don't know how my peers will react when playing this game at college, parties or conventions. It'll be awkward, but hopefully it'll be fun. Do I recommend this game? Yes. Well Maybe not at full price but if you have friends you play with locally, then I think you will have a fun time.",EAPyoutube,"Mar 24, 2017",1-2-Switch,Switch
55,7,"I definitely agree with most people that this should 've been bundled in with the switch. But I also think that the game is really fun when played in a party of 4 or more. Even though a lot of the game modes are pretty stupid they become fun when playing with friends. What we find most fun to do is shuffle mode winner remains which is a fun cometitive way to play all the game modes. There is a team mode but we found that one to be ""Mariokart-y"" where the losing team gets an edge. One thing that bothered us was that the high scores weren't saved which really should be updated. Overall a great local party game, a genre where Nintendo shines and will continue to shine for many years to come.",TheSeahorse,"Oct  8, 2017",1-2-Switch,Switch
56,7,"The only reason this game gets as much hate as it does is that it's not made for gamers. Personally, as a gamer, I can understand this. But having used it to introduce the Switch to many non-gamer friends, I can really see its appeal. It's the first game I've been able to play with my dad and five year old sister. The HD Rumble is cool, and of the 28 minigames, I can see myself coming back to about half of them.Pros:-Fun for non-gamers as well, simple to teach-Memorable moments-28 minigames-HD Rumble games like Safe Crack are awesome Cons:-Gets boring unless you're playing it with new people-Some minigames are bad, e.g Zen and the notorious Baby-Gamers may be annoyed at lack of depth-The price :( Really I blame Nintendo's advertising. I found that this isn't a game for adults, but one for kids. If you ever enjoyed Mario Kart Wii or the WarioWare games with friends, this is for you.",NickStuf,"Mar 27, 2017",1-2-Switch,Switch
57,7,"Perfect game for a party and family, or with friends around, I enjoyed it very much with friends and we laughed and truly enjoyed a video game, with that been said $60 is a little too much for what this game is, it would be a 10 out of 10 if it costed $20.",Raxumotra,"Jul 29, 2017",1-2-Switch,Switch
58,5,"1-2 Switch has content, just not content worth replaying. Sure it can be fun at a party or two, but don't expect it to hold attention for very long due to it's uninspired, quick and inflated game library. Recommended To:- Nobody who is an only child, lives alone, or is single",Un_Creative,"Nov 13, 2017",1-2-Switch,Switch
59,7,"For what what it is it's an enjoyable party game with superb controls. I just wish there was more to it. For example each minigame only has one variant, why can't there be more ways to play like Wii Sports or Nintendo Land? Those gave more bang for your buck with more enjoyable gameplay and content.",GreedyWarioMan,"Jul 12, 2017",1-2-Switch,Switch
60,7,"The good minigames outweigh the bad, and while 1-2-Switch will never be as well remembered as its older sibling Wii Sports, it’s a decent spiritual successor to it that is great to bring to parties.",CanadianYeti,"Jul 17, 2017",1-2-Switch,Switch
61,5,"1-2-Switch is a nice, innovative game that not only gets you off the couch and playing along with friends. But it also creates more innovative play styles with the capability of the Joycons and the new HD Rumble feature within the Joycons. However. This game is only fun to play with family and friends, and is very difficult, and plain if you plan to play it alone. While the game has a nice concept of getting out with family, friends and having fun. It shows no ray of light in single player playing, which is sad due to how much potential the game has. The graphics are nice, clean and the game play is simple to pick up and understand. I encountered no bugs when playing this game, and I think this game is overall a very nice game to play with family and friends. Just really lonely when you try to play it by yourself.",Jtplaz3,"Jul 18, 2017",1-2-Switch,Switch
62,7,"i got this game when i went to go by a Switch. We played it for about an hour before we turned it off. This game might have gotten an 8 or a 9 if it was a pack-in game for the Switch. Regardless the time we did put into this was still fun. I suggest waiting until this goes on sale for 20 or 30 bucks. Unless you are a die hard party game fan, i would wait for a discount.",luigicap10,"Apr 10, 2018",1-2-Switch,Switch
63,8,"At first I wasn't really convinced, of this game, but after playing it it was surprisingly fun. It's definitely worth it if you have friends/a family.",Fely,"Nov 24, 2017",1-2-Switch,Switch
64,6,Das Spiel ist eigentlich gar nicht so verkehrt.Ich denke als Multiplayer- Game ist es gar nicht so furchtbar wie alle sagen und eignet sich auf Erwachsenen- sowie Kinderpartys.,KeanuGermany,"Jan 28, 2018",1-2-Switch,Switch
65,8,"This is a great game to have in the family household, with fun and variable things to do. Especially younger children have a lot to gain by playing this game.",AllSchwartz,"Feb 16, 2018",1-2-Switch,Switch
66,8,"The price is a little steep but this is your Wii Sports style game for the switch. Whenever anyone comes round to play it or we have a party this is first game I put in to show what the switch can do. Its a great tech demo, yes one for nearly £30 but its a good tech demo nonetheless",CreamyGoodne55,"Apr 24, 2018",1-2-Switch,Switch
67,6,"Es un juego un poco caro para lo que ofrece, ya que parece más una demostración de lo que puedes hacer con los Joy-Con. Podría incluso haber venido junto a la consola como hizo Wii Sports con Wii. En general está bien, entretenido para pasar un buen rato con tus amigos, pero poco más.",itsmooisees,"Mar 24, 2020",1-2-Switch,Switch
68,5,"1-2-Switch suffers from its games having a little lack of replayability, since those are all this has. This game does a decent job of showing the Joycon's capabilities, although I'd say Super Mario Party has taken that role better. Most of what you'll be seeing are live action videos explaining everything, and without the charm of the Miis or other creatures from previous Consoles. The games themselves are fun at first, but lose their charm almost instantly after the second or third time. Overall, 1-2-Switch is an overpriced game that should have been bundled as a tech demo for the Switch instead of a separate game. It's good for like, one party night, but that's the best you'll get out of it.",SuperInkLink64,"Dec  2, 2018",1-2-Switch,Switch
69,9,It’s a great game and a really fun time waster.. however it’s price isn’t the best and should be way lower.,IReviewGames101,"Aug 30, 2019",1-2-Switch,Switch
70,5,"This is one of the most divisive games I have ever seen. Some people like it for being simple, easy to play, and relaxing, while others f*cking hate it due to the obscene price point and no replay value. I'm in the middle. The game is fine at what it does, but it gets old damn quick. Sure, the game has 28 different games, but most are completed in a minute or less, are so basic it's frustrating, and some mini games can be very bizarre. So while the game is a neat little novelty, it honestly isn't a good game.",Articritic,"Jan 26, 2020",1-2-Switch,Switch
71,5,"Let's be clear that this game isn't out to compete with Mario or Zelda.  It is a party game that really displays what the joycons can do. However despite the numerous mini games there isn't a whole lot of depth.  There isn't an option of keeping score.  Obviously no story mode.  It is a take what you see.  But really, after a few times playing it, you lose interest and fast.  Kids like it but again, just not a lot of options.",Oldskoolberk,"Feb  1, 2020",1-2-Switch,Switch
72,0,"Its insulting to call this a video game.  I know what this was going for, but honestly what this game aims to achieve as far as player interaction is much better found in actual board or party games sold at a fifth of the price.  The video interface almost feels like a hinderance to the games that you play, rather than its actual platform.  After playing this for hours I felt a longing to play much superior party/partner board games like Cranium.  This is a waste of money and a failed attempt at a party game.  If there is a video game to compare this to its the Wario Ware series which is 1,000x better and full of much much more thoughtful use of motion controls and actual video game content.  This is what the bottom of the barrel looks like.",tdub154420,"Apr  3, 2017",1-2-Switch,Switch
73,6,"1-2 Switch is a cheesy new party game that should be a pack-in title for the Switch. But Nintendo thought it was a good idea making this a separate game for 50 dollars. There are incredibly 28 mini games in 1-2 Switch. But to be honest, some of them are garbage. For example, Baby is something that you definitely can't play at a party. Shaving doesn't work like it is supposed to do. And Treasure Chest is impossible to play because the camera doesn't follow your Joy-Con. But other than that, it's a pretty fun game. Quick Draw is too simple but too fun. Milk is both fun to play and fun to watch. And Sneaky Dice is a real **** game where you can troll the other players. But for some reason, i just can't play this for more than 30 minutes.",ihateloggingin,"Mar 28, 2017",1-2-Switch,Switch
74,4,"1 2 switch should be in the basic pack of nintendo switch, it hasnt too much games comparing wii sports, or wii party and the only reason to buy is the hd rumble, for me is 4",PETER_CRACK,"Mar 19, 2017",1-2-Switch,Switch
75,0,"Don't waste your money, I repeat don't waste your money. I bought this game with Zelda, cause I though it could be a kinda ""ok"" addition to my switch library. A game that I could play with friends and my brothers... The game is pure garbage! Don't waste your money on that. Trust me, it is NOT FUN. The first few rounds were ok, we laugh, we smiled, the ""milk"" game is awkward, but hilarious... but for god sake, that's pretty much it. Even that ""milk"" game gets boring after 20 minutes. What a huge waste of ""MONEY"" and ""TIME"". It's not even a game worth to play in a party were your friends are drunk and all, the game is just not fun. I'm giving it a ""1 out of 10"" for the milk game and the first 30 minutes and that's pretty damn generous. Do yourself a favor and save your money for the upcoming titles. It should seriously have been a free game that comes in bundle with the console. And even that, I think I wouldn't be playing it. Should have made a Switch Sports (like the Wii sports).",Black-Templar,"Mar  8, 2017",1-2-Switch,Switch
76,4,"This has maybe 5 or 6 decent mini-games on it, super over priced, i get that its to show off what the switch can do but this should have been a free game included with the console. Would not recommend buying unless its very cheap.",mattyjay11,"Mar  8, 2017",1-2-Switch,Switch
77,1,"Nintendo continues its bad choices, targeting rich people and putting the poor side by the side with outdated equipment of ten years, Nintendo is in family but the fragility of the console can not be put in the hands of children",Lepoy59,"Mar  8, 2017",1-2-Switch,Switch
78,6,"Mediocre set of 28 mini-games that are more glorious technical demos than real games.They will definitely get your party started but for premium price (50€/$) it isn't enough.Out of 28 mini-games maybe 6 have some re-playability and others are there just to show you what are joycon(s) capable of. 1-2-Switch bears great resemblance to Wii Sports - game that was bundled with Nintendo Wii console 2 generations ago. Wii sports was a great way to show off Wii's motion controls and it's re-playability was incomparable with 1-2-Switch. It was something new,fresh and it could be played by everyone capable of holding wii remote. Sadly that can't be told about 1-2-Switch. 1-2-Switch is good addition to Switch's line-up and it will keep you or your family/kids occupied for a while but after that it will only gather the dust. At half of it's current price it would be no-brainer but at 50$ it's no buy in my book.",scart35,"Mar  7, 2017",1-2-Switch,Switch
79,6,"1 2 switch should have been bundled with the Nintendo Switch itself otherwise I don't see why this game is worth $49.99 it is an absolute rip off unless you have loads of ""parties"" or friends over which is the only reason this game could be any fun. The price tag does not represent the quality of the game at all this should be at least a $30 game at most. This is not really a game you should be buying if you just want to play it by yourself. However 1 2 switch was 1 of 5 launch titles on release for the Nintendo Switch. 1 2 switch does offer 28 mini games which is a reasonable amount and only really 1/4 are fun so this game won't really last long it's one of those games that you probably would play occasionally or play it for a couple of weeks and then completely forgettable. Although you can't deny that this game does use the Joy Con functionality pretty well with the likes of motion controls and HD Rumble. However it's not a console seller or one of those games you must pick up and the $49.99 price tag really doesn't help the cause at all 6/10",mikerbiker62,"Mar 24, 2017",1-2-Switch,Switch
80,0,"Charging for this garbage is an offense against the consumer. Nintendo, tell me, are you kidding? If you spend a single dollar on this junk you're nothing but stupid.",peteraff1,"Apr  3, 2017",1-2-Switch,Switch
81,0,"$50? Are you serious? This should've been bundled with the system or a $20 add-on at most. Wii Sports came with the system at launch and was better than this. Nintendo has seen what happens when they put effort into something (Zelda BotW), so stay on target and stop making dumb decisions like this one.",oohbeartrap,"Mar  8, 2017",1-2-Switch,Switch
82,7,"1-2 Switch is an overall good minigame collection that unfortunately takes a few wrong steps. This is an amazing experience to trully see what the Joycon are all about and a great way to spend time at a small party with your friends.The Board Game for two teams is in my opinion a great mode to enjoy with a big group. Shuffle allows you to get a random game while playing and then there are 28 minigames at your disposalIn my opinion there are 5 awesome ones, 3 good ones, 10 forgettable ones and 10 more that are completely just stupid.The best of the bunch is Fake Draw and the worst is by far Baby that one is just creepy and weird. I would give a 6.5/10 to 1-2 Switch but I'll leave a 7/10 on the review",DeathStarU,"Mar  5, 2017",1-2-Switch,Switch
83,6,"This game is a lot of fun with family and friends. Out of the 28 games, you're sure to find a few you'll enjoy.  This game is perfect to bring to a party. The problem with this game is the price. It isn't really worth $50. If it was $20 or less, I would recommend it. Wait for either a price drop or for used copies to show up.",SeepMan,"Mar  7, 2017",1-2-Switch,Switch
84,5,"Sadly this demo wasn't packaged with the system, in fact you're the one making it fun with your friends while been drunk, and is still enjoyable in that particular case, but in that same case youy would rather want to be makig fun out of other things and not risking your switch while putting it at risk, is not a decent succesor to wii sports, wait for the price go down if you enjoy parting with your friends or family.",mikehettfield,"Mar 11, 2017",1-2-Switch,Switch
